publishedTimeText,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths,cleaned_text
1 year ago,Proud kannadigas ❤,27,@PrasannaShetty-d5q,false,false,false,false,,false,,Proud kannadigas :redheart:
6 months ago (edited), @Malnad_mango  tharadu mango antha etko lowdike,0,@shivprasadhj8396,true,false,false,false,,false,,Malnadmango tharadu mango antha etko lowdike
6 months ago, @Malnad_mango  reply madoo bevarsi,0,@shivprasadhj8396,true,false,false,false,,false,,Malnadmango reply madoo bevarsi
6 months ago, @Malnad_mango  loo mindri😡,0,@shivprasadhj8396,true,false,false,false,,false,,Malnadmango loo mindri:enragedface:
6 months ago (edited), @Malnad_mango  nin thara mindri alla kano lofar,0,@shivprasadhj8396,true,false,false,false,,false,,Malnadmango nin thara mindri alla kano lofar
6 months ago (edited), @Malnad_mango  adike bandu nan shaa tharee,0,@shivprasadhj8396,true,false,false,false,,false,,Malnadmango adike bandu nan shaa tharee
1 year ago,🎉,0,@kumarbankapur4460,true,false,false,false,,false,,:partypopper:
1 year ago,🙏🙏🙏🙏🙏,1,@all_in_one_9976,false,false,false,false,,false,,:foldedhands::foldedhands::foldedhands::foldedhands::foldedhands:
1 year ago,Super kannadigas ❤❤,1,@roaring28,false,false,false,false,,false,,Super kannadigas :redheart::redheart:
1 year ago,❤❤❤❤WE LOVE YOU AK❤❤❤❤,1,@arnathekarna,false,false,false,false,,false,,:redheart::redheart::redheart::redheart:WE LOVE YOU AK:redheart::redheart::redheart::redheart:
1 year ago,hi ashaakka,1,@srinivasshastry9601,false,false,false,false,,false,,hi ashaakka
1 year ago,super🎉,1,@Lakshmisha-x5b,false,false,false,false,,false,,super:partypopper:
1 year ago,Video late aythu,1,@sunilkumarhcsunilkumar2400,false,false,false,false,,false,,Video late aythu
1 year ago,Tokyo super sir,1,@maheshpatil8403,false,false,false,false,,false,,Tokyo super sir
1 year ago,Amazing video,1,@omprakashomi6795,false,false,false,false,,false,,Amazing video
1 year ago,Happy video sr,1,@vasanthkumar928,false,false,false,false,,false,,Happy video sr
1 year ago,Nam dheshadh jana bare jathi nodake kall bevarse rajakaranigallege vote akake layaku 500 rs kotre saku kallsulle maklluge vote asti,1,@maheshmanju6595,false,false,false,false,,false,,Nam dheshadh jana bare jathi nodake kall bevarse rajakaranigallege vote akake layaku 500 rs kotre saku kallsulle maklluge vote asti
1 year ago,Please go Hiroshima Nagasaki,1,@koushiag6680,false,false,false,false,,false,,Please go Hiroshima Nagasaki
1 year ago,Nim kannada estu chennagide,0,@chaitranaveen3750,false,false,false,false,,false,,Nim kannada estu chennagide
1 year ago,First view & First like,0,@belludirajshekardvgyt2003,false,false,false,false,,false,,First view First like
1 year ago,తెలుగు nalli cinema ide Kiran avre..   ee 🐕 Dog story,0,@joladamalli6594,false,false,false,false,,false,,nalli cinema ide Kiran avre ee :dog: Dog story
1 year ago,India yavaga,0,@imranimrankhan708,false,false,false,false,,false,,India yavaga
1 year ago,Madam ur getting young day by day,0,@dilkomars8606,false,false,false,false,,false,,Madam ur getting young day by day
1 year ago,Supervideo.message,0,@harishml2728,false,false,false,false,,false,,Supervideomessage
1 year ago,Hachiko movie nanu nodidini,0,@kwatleboys6421,false,false,false,false,,false,,Hachiko movie nanu nodidini
1 year ago,Yes,0,@Omshri987,false,false,false,false,,false,,Yes
1 year ago,Nice,0,@govindrajtalwar6808,false,false,false,false,,false,,Nice
1 year ago,Wow 🤩,0,@Nishucorner,false,false,false,false,,false,,Wow :starstruck:
1 year ago,Anna telugu movie hutou,0,@AjithShivegowda-hc8xd,false,false,false,false,,false,,Anna telugu movie hutou
1 year ago,Good,0,@MangalaSrinivasachar,false,false,false,false,,false,,Good
1 year ago,❤❤,0,@lakshmihemaraj8410,false,false,false,false,,false,,:redheart::redheart:
1 year ago,Hi,0,@malamala9078,false,false,false,false,,false,,Hi
1 year ago,"Bro, pls visit Hiroshima  & Nagasaki In Japan.",0,@SureshAcharya-c2e,false,false,false,false,,false,,Bro pls visit Hiroshima Nagasaki In Japan
1 year ago,I love Japan,0,@pgovindraju5960,false,false,false,false,,false,,I love Japan
1 year ago,❤❤❤,0,@artistavision2,false,false,false,false,,false,,:redheart::redheart::redheart:
1 year ago,❤❤❤❤❤❤,0,@ಕನ್ನಡದೇಶ,false,false,false,false,,false,,:redheart::redheart::redheart::redheart::redheart::redheart:
1 year ago,Good,0,@girishgowda2078,false,false,false,false,,false,,Good
1 year ago,Super bro,0,@lokeshgowda8510,false,false,false,false,,false,,Super bro
1 year ago,Asha avre nema dress super 🎉nevu super,0,@sindhug3122,false,false,false,false,,false,,Asha avre nema dress super :partypopper:nevu super
1 year ago,Super rrrr,0,@vaishnavim8352,false,false,false,false,,false,,Super rrrr
1 year ago,Super,0,@sudha1750,false,false,false,false,,false,,Super
1 year ago,🎉🎉🎉,0,@ravishankar3418,false,false,false,false,,false,,:partypopper::partypopper::partypopper:
1 year ago,Super bro 🎉🎉,0,@shobhacssupper5022,false,false,false,false,,false,,Super bro :partypopper::partypopper:
